feature_id	tweet_id_str	tweet_text	tweet_created_at	tweet_user_location	tweet_user_timezone	tweet_coordinates_latitude	tweet_coordinates_longitude	tweet_placeid	char_position	text	geoNameId	toponym	country_code	longitude	latitude	surrogate_geojson	uncertain_semantics	vague	overlapping_ambiguous	non_overlapping_ambiguous	not_in_geonames
60	544433462434754560	"RT @pdxPinay: Angela Davis: ""There is an unbroken line of police violence in the US that takes us all the way back to slavery"" http://t.co/…"	Mon Dec 15 10:07:07 +0000 2014	Montreal	Eastern Time (US & Canada)				81	US	6252001	United States	US	-98.5	39.76						
61	534195858628435968	"RT @haleymae21: ""And if they do something to Carol, we riot."" - Yvette Nicole Brown and every person in the fandom (via... http://t.co/STNM…"	Mon Nov 17 04:06:32 +0000 2014	North Carolina																	
62	508993359743291394	RT @jbouie: The links between domestic violence, poverty, and racism should be a reminder that genuine anti-racism requires feminism, and v…	Mon Sep 08 15:00:48 +0000 2014	PVD	Eastern Time (US & Canada)																
63	486812564047687680	RT @RKKrishnan: If you need a reason to protest and protect #Maldivian sovereignty, #MDP, here it is. Take the lead.	Wed Jul 09 10:02:14 +0000 2014																		
64	503558049697513472	Waking up to news of the Bay Area earthquake. Hope all my friends there are ok!	Sun Aug 24 15:02:49 +0000 2014	Bellevue, WA	Pacific Time (US & Canada)				25	Bay Area	10630414	San Francisco Bay Area	US	-122.42349	37.77239			true			
65	549913131883851777	"RT @MRIGal3: Finding you
was never easy
But you were worth
The ride
A tornado in disguise
My dervish friend
You seek
I'll find"	Tue Dec 30 13:01:22 +0000 2014	michigan	Tehran																
66	519306891567312896	@GardenHorror One of the greatest ever. Was just listening to Tornado of Souls after dinner.	Tue Oct 07 02:03:05 +0000 2014	Orlando, FL																	
67	542621574445432832	RT @fredwhitecap: The World Malaria Report 2014 is out for those interested. http://t.co/nkJbLKmZTh	Wed Dec 10 10:07:19 +0000 2014	UGANDA	Riyadh																
68	513965477404479489	RT @4FreedominIran: #Iran resistance to protest at the United Nations | http://t.co/yl7lv9Id6S #no2Rouhani #NYC #NewYork #IranTalksNYC @sta…	Mon Sep 22 08:18:13 +0000 2014						21	Iran	130758	Islamic Republic of Iran	IR	53	32						
69	513965477404479489	RT @4FreedominIran: #Iran resistance to protest at the United Nations | http://t.co/yl7lv9Id6S #no2Rouhani #NYC #NewYork #IranTalksNYC @sta…	Mon Sep 22 08:18:13 +0000 2014						122	Iran	130758	Islamic Republic of Iran	IR	53	32						
70	513965477404479489	RT @4FreedominIran: #Iran resistance to protest at the United Nations | http://t.co/yl7lv9Id6S #no2Rouhani #NYC #NewYork #IranTalksNYC @sta…	Mon Sep 22 08:18:13 +0000 2014						55	United Nations	5141947	United Nations Headquarters	US	-73.96792	40.74955						
71	513965477404479489	RT @4FreedominIran: #Iran resistance to protest at the United Nations | http://t.co/yl7lv9Id6S #no2Rouhani #NYC #NewYork #IranTalksNYC @sta…	Mon Sep 22 08:18:13 +0000 2014						108	NYC	5128581	New York City	US	-74.00597	40.71427						
72	513965477404479489	RT @4FreedominIran: #Iran resistance to protest at the United Nations | http://t.co/yl7lv9Id6S #no2Rouhani #NYC #NewYork #IranTalksNYC @sta…	Mon Sep 22 08:18:13 +0000 2014						131	NYC	5128581	New York City	US	-74.00597	40.71427						
73	513965477404479489	RT @4FreedominIran: #Iran resistance to protest at the United Nations | http://t.co/yl7lv9Id6S #no2Rouhani #NYC #NewYork #IranTalksNYC @sta…	Mon Sep 22 08:18:13 +0000 2014						113	NewYork	5128581	New York City	US	-74.00597	40.71427	"{""features"":[{""geometry"":{""coordinates"":[-75.4999,43.00035]},""properties"":{""geoNameId"":5128638,""toponym"":""New York"",""countryCode"":""US"",""positions"":[113]}},{""geometry"":{""coordinates"":[-74.00597,40.71427]},""properties"":{""geoNameId"":5128581,""toponym"":""New York City"",""countryCode"":""US"",""positions"":[113]}}]}"			true		
74	487703948540010496	Watching TV Japan about earthquake news.Tsunami is coming but it is not too bad.I almost cancel the channel but I've decided to keep it. :)	Fri Jul 11 21:04:17 +0000 2014	DC Metro	Eastern Time (US & Canada)				12	Japan	1861060	Japan	JP	139.75309	35.68536						
75	516181551906693121	RT @OCLPHK: Shame on HK Gov! Teargas effectively dispersed the media. We need human rights orgs to monitor the protest! @wang_maya @Reaproy…	Sun Sep 28 11:04:06 +0000 2014	Hong Kong	Hong Kong				21	HK	1819730	Hong Kong Special Administrative Region	HK	114.16667	22.25		true				
76	548660768866988032	RT @muftimenk: Praying for Malaysia where the flood waters continue to rise. May the Almighty safeguard you and grant you relief. Aameen	Sat Dec 27 02:04:55 +0000 2014	Taman Melawati	Kuala Lumpur				27	Malaysia	1733045	Malaysia	MY	112.5	2.5						
77	545489968169091072	Malaria drug resistance in Southeast Asia caused by a single mutated gene in the disease-causing parasite http://t.co/5hn54uDBkz #mrsa	Thu Dec 18 08:05:17 +0000 2014	United States	Pacific Time (US & Canada)				27	Southeast Asia	6942346	Southeast Asia		103.00781	12.38293			true			
78	494120512105488384	"E B O L A VIRUS
Emex Science World
ATTENTION! Things You Need To Know
About
The Deadly Ebola Virus To Stay Safe.... http://t.co/IZ22leG6yC"	Tue Jul 29 14:01:25 +0000 2014	kitwe, zambia	Pacific Time (US & Canada)																
79	522175838679076864	Sending out prayers to those who perished in the Bohol earthquake and to their families as well..	Wed Oct 15 00:03:16 +0000 2014	manila ph	Pacific Time (US & Canada)				49	Bohol	1724395	Province of Bohol	PH	124.16667	9.83333						
80	558490547347030017	RT @wx8: M-6.8 earthquake off the coast of Vanuatu. No tsunami. http://t.co/MVOwrOQ5L6	Fri Jan 23 05:04:57 +0000 2015						43	Vanuatu	2134431	Republic of Vanuatu	VU	167	-16						
81	491842598492196864	RT @ashokepandit: I am sure the Shivsena MP didn't know that the caterer was a Muslim &amp; must be observing Roza.It was a protest Agnst bad f…	Wed Jul 23 07:09:48 +0000 2014	Mumbai	Mumbai																
82	489668027579781121	RT @Madeline_Curry: Let the ones who doubt you be the fuel to your fire.	Thu Jul 17 07:08:50 +0000 2014	Lake Charles, LA	Central Time (US & Canada)																
83	559487057836273664	: Ebola Vaccine Confirmed?? [link to http://t.co/yW61HvdQL3] After promising trials, the first doses of an expe...	Sun Jan 25 23:04:44 +0000 2015																		
84	542228323904937984	RT @MrKRudd: Extraordinary contribution from Cuba for the Ebola crisis in Africa. K http://t.co/OeEs6aLFci	Tue Dec 09 08:04:41 +0000 2014	Australia	Brisbane				45	Cuba	3562981	Republic of Cuba	CU	-79.5	22						
85	542228323904937984	RT @MrKRudd: Extraordinary contribution from Cuba for the Ebola crisis in Africa. K http://t.co/OeEs6aLFci	Tue Dec 09 08:04:41 +0000 2014	Australia	Brisbane				74	Africa	6255146	Africa		21.09375	7.1881						
86	555908477022138368	RT @OleMissWBB: REBELS GET THE WIN! Final Score: Ole Miss 55, Georgia 52. Ole Miss moves to 4-1 in SEC play. #RiseUp	Fri Jan 16 02:04:43 +0000 2015	jackson, ms																	
87	521904983180972032	"Also if this shit gets any award moms under the ""country"" genre I'm gonna start a riot cause she's straight up pop"	Tue Oct 14 06:06:59 +0000 2014	Katy loves my Style	Brisbane																
88	532640302889455617	@castermere i sometimes avoid the song titles too (cc: blood flood)	Wed Nov 12 21:05:18 +0000 2014		London																
89	490437952519286786	RT @londil: Cover-up: Ukraine rebels destroying all links to MH17 air atrocity | World news | The Guardian http://t.co/OtXIYRanNZ	Sat Jul 19 10:08:14 +0000 2014	Heerlen	Hawaii				22	Ukraine	690791	Ukraine	UA	32	49		true				
90	556284895513673728	"It's been 20 years since the Hanshin-Awaji Earthquake!
a happening that must not be forgotten! http://t.co/MFO6McpGm1"	Sat Jan 17 03:00:29 +0000 2015	??	Taipei				29	Hanshin	1859449	Kinki Chih?	JP	135.5	35			true			true
91	556284895513673728	"It's been 20 years since the Hanshin-Awaji Earthquake!
a happening that must not be forgotten! http://t.co/MFO6McpGm1"	Sat Jan 17 03:00:29 +0000 2015	??	Taipei				37	Awaji	1864898	Awaji Shima	JP	134.8288	34.3884						
92	528533748749307906	"#Earthquake M 4.7 - East of the Kuril Islands: DYFI? - ITime2014-11-01 12:08:36 UTC2014-11-01 22:08:36 +10:00 ... http://t.co/swuyhfGwae"	Sat Nov 01 13:07:20 +0000 2014	Singapore	Singapore	45.7754	153.7264		32	Kuril Islands	2131689	Kuril Islands	RU	152	46.16667						
93	557327899997769728	How in the hell do you get into a fight backstage at an ANTI VIOLENCE CONCERT? Come on August!  @AugustAlsina	Tue Jan 20 00:05:00 +0000 2015	Guelph,Ont	Eastern Time (US & Canada)																
94	501565015519133698	RT @Ltrexbaum1: #Ferguson must be take your children to the riot night again.	Tue Aug 19 03:03:13 +0000 2014	masshole																	
95	542275240492269568	Scale-up in effective malaria control dramatically reduces deaths The number people dying from malaria has falle... http://t.co/anzCSrM92F	Tue Dec 09 11:11:06 +0000 2014		Bangkok																
96	489953590975676417	RT @JuliaDavisNews: Sure would be nice if everyone in the media could figure out these simple facts! Terrorists?not rebels or separatists h…	Fri Jul 18 02:03:33 +0000 2014	Sweden	Vienna																
97	507243241784094720	Ebola death toll at more than 1,900: WHO chief: Washington AFP - More than 1,900 people have died in the Ebola... http://t.co/P3WcLiFrDW	Wed Sep 03 19:06:27 +0000 2014	Lagos	West Central Africa																
98	537078824094425088	RT @croppz06TJ: I'm sorry but if you burn the American flag in protest. You are not an American.	Tue Nov 25 03:02:24 +0000 2014	NHSJVC	Eastern Time (US & Canada)																
99	523156595367477248	RT @jordantimes: Muslims and Christians march in #Amman on Saturday to protest against the violence in #Iraq, #Gaza and the region http://t…	Fri Oct 17 17:00:26 +0000 2014	"CA; Jordan "	Pacific Time (US & Canada)				50	Amman	250441	Amman	JO	35.94503	31.95522						
100	523156595367477248	RT @jordantimes: Muslims and Christians march in #Amman on Saturday to protest against the violence in #Iraq, #Gaza and the region http://t…	Fri Oct 17 17:00:26 +0000 2014	"CA; Jordan "	Pacific Time (US & Canada)				104	Iraq	99237	Republic of Iraq	IQ	44	33						
101	523156595367477248	RT @jordantimes: Muslims and Christians march in #Amman on Saturday to protest against the violence in #Iraq, #Gaza and the region http://t…	Fri Oct 17 17:00:26 +0000 2014	"CA; Jordan "	Pacific Time (US & Canada)				111	Gaza	281132	Gaza Strip	PS	34.33333	31.41667	"{""features"":[{""geometry"":{""coordinates"":[34.46667,31.5]},""properties"":{""geoNameId"":281133,""toponym"":""Gaza"",""countryCode"":""PS"",""positions"":[111]}},{""geometry"":{""coordinates"":[34.45591,31.25857]},""properties"":{""geoNameId"":7870269,""toponym"":""Gaza"",""countryCode"":""IL"",""positions"":[111]}},{""geometry"":{""coordinates"":[34.33333,31.41667]},""properties"":{""geoNameId"":281132,""toponym"":""Gaza Strip"",""countryCode"":""PS"",""positions"":[111]}}]}"			true		
102	531614074782900224	I think we're like fire and water, I think we're like the wind and sea	Mon Nov 10 01:07:27 +0000 2014																		
103	502591277154992129	RT @drsanjaygupta: a picture you won't soon forget. dr kent brantly says good bye to the team that saved him. #ebola http://t.co/L7j66SUm4q	Thu Aug 21 23:01:12 +0000 2014		Eastern Time (US & Canada)																
104	549808642640609280	.@sanjayuvacha @CPBlr My native Moodbidri. I was once hospitalized in Alva Hospital for Malaria. Unbelievable how deep the venom has spread	Tue Dec 30 06:06:10 +0000 2014	India																	
105	501640908484669440	RT @YILMAZAKINCI1: Right Now #polio and measles vaccination for the #IraqiRefugees in silopi #Turkey http://t.co/pa2QJE3bDB	Tue Aug 19 08:04:47 +0000 2014																		
106	557614905722142721	I slept through the earthquake	Tue Jan 20 19:05:28 +0000 2015	831	Pacific Time (US & Canada)																
107	545911525417172992	PEOPLE Magazine Awards: Gwen Stefani and Pharrell Williams Perform “Spark the Fire” http://t.co/1mEu3x2hG7 @RafaelGrulln	Fri Dec 19 12:00:24 +0000 2014		Georgetown																
108	487583128765366273	[#BrandySolamente] Separatist Rocket Attack Said to Kill 30 Ukrainian Troops: Rebels in the east of the countr... http://t.co/hNSQsrFfdn	Fri Jul 11 13:04:11 +0000 2014		Brasilia																
109	545837790286839809	On Epidemic Influences on the Epidemiological Aspects of Yellow Fever - http://t.co/X28cOH1alM #Flu #viruses #virus #disease	Fri Dec 19 07:07:25 +0000 2014	United States																	
110	517525176926633984	RT @yungdewey: @yoceezy gets in a car accident everyday and yall mad about the flu	Thu Oct 02 04:03:12 +0000 2014	RO/MI	Eastern Time (US & Canada)																
111	520605514825490433	Flood the streets with tweets	Fri Oct 10 16:03:21 +0000 2014	The world is your office.	Pacific Time (US & Canada)																
112	532986673639202816	"RT @DrOz: Be sure to watch today to find out the 3 items you need in your ""flu kit"" this season to fight the virus! #BringingHealthyBack"	Thu Nov 13 20:01:40 +0000 2014																		
113	533048173540155392	I probably looked like a dumbass getting flu swabbed at the hospital wearing shorts in this cold ass weather ?	Fri Nov 14 00:06:02 +0000 2014		Central Time (US & Canada)																
114	561614930445492224	The challenge of evolution: Insecticide Resistance http://t.co/2Gthpjreeo. #DefeatMalaria #SaveLives #Malaria http://t.co/WbPSWOj4xM	Sat Jan 31 20:00:08 +0000 2015	Liverpool	London																
115	512950723516981250	RT @CM_eSports: Thanks to @ggCMonteCristo we are on the Riot space! RT and tell us which champ has impressed you most to win. #Worlds http:…	Fri Sep 19 13:05:57 +0000 2014	Kanto	Hawaii																
116	489092188048211968	RT @Farida_N: A dozen of #African organisations in the USA are organizing a protest against the US-#Africa Summit on August 5th 2014 at the…	Tue Jul 15 17:00:39 +0000 2014	Spain Madrid	Athens				55	USA	6252001	United States	US	-98.5	39.76						
117	489092188048211968	RT @Farida_N: A dozen of #African organisations in the USA are organizing a protest against the US-#Africa Summit on August 5th 2014 at the…	Tue Jul 15 17:00:39 +0000 2014	Spain Madrid	Athens				100	Africa	6255146	Africa		21.09375	7.1881						
118	489092188048211968	RT @Farida_N: A dozen of #African organisations in the USA are organizing a protest against the US-#Africa Summit on August 5th 2014 at the…	Tue Jul 15 17:00:39 +0000 2014	Spain Madrid	Athens				96	US	6252001	United States	US	-98.5	39.76						
119	558988471076143104	Chimps and gorillas desperately need an Ebola vaccine too - There is a side to the Ebola crisis that, perhaps unde... http://t.co/S12XyX1CiL	Sat Jan 24 14:03:31 +0000 2015	scottsdale, az	Arizona																
120	507695833304023041	If @steveyeun or @bigbaldhead for in the next season of #WalkingDead I will riot #SaveGlenn #SaveDaryl #DontDie #riot	Fri Sep 05 01:04:53 +0000 2014	NY																	
121	520363994679222273	Jesus will ignite the kingdom life within you, a fire within you, the Holy Spirit within you, changing you from the inside out.	Fri Oct 10 00:03:38 +0000 2014	Oklahoma																	
122	503558036519006211	@troyesivan ARE YOU OKAY?  WAS THE EARTHQUAKE BAD?	Sun Aug 24 15:02:46 +0000 2014																		
123	487673601135747072	"2day n 2moro going to be repeated the same story KundaD "" Five terroristas smash a motorbike in Pulchok, while 200 riot police look on."""	Fri Jul 11 19:03:41 +0000 2014																		
